state,county_name,candidate,party,mode,votes,Total Votes
Alabama,autauga,Write in,Other,regular,2154,24117
Alabama,autauga,Nathan Mathis,Democratic,regular,7219,24117
Alabama,autauga,Martha Roby,Republican,regular,13507,24117
Alabama,autauga,Write in,Other,absentee,104,24117
Alabama,autauga,Nathan Mathis,Democratic,absentee,325,24117
Alabama,autauga,Martha Roby,Republican,absentee,808,24117
Alabama,baldwin,Write in,Other,absentee,61,78986
Alabama,baldwin,Bradley Byrne,Republican,absentee,3597,78986
Alabama,baldwin,Write in,Other,regular,1930,78986
Alabama,baldwin,Bradley Byrne,Republican,regular,73398,78986
Alabama,barbour,Write in,Other,absentee,7,10046
Alabama,barbour,Nathan Mathis,Democratic,absentee,370,10046
Alabama,barbour,Martha Roby,Republican,absentee,275,10046
Alabama,barbour,Write in,Other,regular,456,10046
Alabama,barbour,Nathan Mathis,Democratic,regular,4927,10046
Alabama,barbour,Martha Roby,Republican,regular,4011,10046
Alabama,bibb,Write in,Other,absentee,0,8656
Alabama,bibb,David J. Putman,Democratic,absentee,47,8656
Alabama,bibb,Gary Palmer,Republican,absentee,191,8656
Alabama,bibb,Write in,Other,regular,15,8656
Alabama,bibb,David J. Putman,Democratic,regular,1924,8656
Alabama,bibb,Gary Palmer,Republican,regular,6479,8656
Alabama,blount,Write in,Other,absentee,1,24748
Alabama,blount,David J. Putman,Democratic,absentee,101,24748
Alabama,blount,Gary Palmer,Republican,absentee,594,24748
Alabama,blount,Robert Aderholt,Republican,absentee,33,24748
Alabama,blount,Write in,Other,regular,46,24748
Alabama,blount,David J. Putman,Democratic,regular,2282,24748
Alabama,blount,Gary Palmer,Republican,regular,20067,24748
Alabama,blount,Robert Aderholt,Republican,regular,1624,24748
Alabama,bullock,Write in,Other,absentee,2,4485
Alabama,bullock,Nathan Mathis,Democratic,absentee,267,4485
Alabama,bullock,Martha Roby,Republican,absentee,41,4485
Alabama,bullock,Write in,Other,regular,78,4485
Alabama,bullock,Nathan Mathis,Democratic,regular,3250,4485
Alabama,bullock,Martha Roby,Republican,regular,847,4485
Alabama,butler,Write in,Other,absentee,5,8327
Alabama,butler,Nathan Mathis,Democratic,absentee,166,8327
Alabama,butler,Martha Roby,Republican,absentee,73,8327
Alabama,butler,Write in,Other,regular,316,8327
Alabama,butler,Nathan Mathis,Democratic,regular,3922,8327
Alabama,butler,Martha Roby,Republican,regular,3845,8327
Alabama,calhoun,Write in,Other,absentee,7,47250
Alabama,calhoun,Jesse Smith,Democratic,absentee,435,47250
Alabama,calhoun,Mike Rogers,Republican,absentee,970,47250
Alabama,calhoun,Write in,Other,regular,68,47250
Alabama,calhoun,Jesse Smith,Democratic,regular,13565,47250
Alabama,calhoun,Mike Rogers,Republican,regular,32205,47250
Alabama,chambers,Write in,Other,absentee,0,13719
Alabama,chambers,Jesse Smith,Democratic,absentee,190,13719
Alabama,chambers,Mike Rogers,Republican,absentee,338,13719
Alabama,chambers,Write in,Other,regular,16,13719
Alabama,chambers,Jesse Smith,Democratic,regular,5606,13719
Alabama,chambers,Mike Rogers,Republican,regular,7569,13719
Alabama,cherokee,Write in,Other,absentee,0,10421
Alabama,cherokee,Robert Aderholt,Republican,absentee,13,10421
