State,County,Rep. Pres. Vote %,Dem. Pres. Vote %,Rep. House Vote %,Dem. House Vote %,Rep. Senate Vote %,Dem. Senate Vote %,Avg. Rep. Vote %,Avg. Dem. Vote %,Higher Avg. %
Iowa,linn,41.32,50.33,48.41,51.35,54.26,41.2,47.67,47.33,47.67
Nevada,washoe,45.14,46.39,52.15,43.45,46.84,46.05,47.67,45.0,47.67
North Carolina,watauga,45.68,47.15,49.04,50.96,48.3,46.87,47.33,47.67,47.67
Illinois,jackson,44.05,47.26,52.92,39.45,36.99,56.85,44.0,47.33,47.33
Maryland,anne arundel,45.32,47.55,48.02,47.78,48.42,48.31,47.0,47.33,47.33
Utah,grand,43.57,43.24,50.99,49.01,49.64,44.67,47.33,45.33,47.33
Arizona,navajo,51.07,40.85,43.51,49.25,47.53,44.7,47.0,44.33,47.0
Idaho,latah,39.98,44.53,50.01,49.99,52.54,43.94,47.0,45.33,47.0
New York,orange,50.42,44.91,37.51,47.78,32.98,50.66,39.67,47.0,47.0
Alaska,district 39,24.92,55.72,58.0,34.37,59.75,9.19,47.0,32.67,47.0
Colorado,pueblo,46.11,45.62,52.67,41.35,42.47,52.01,46.67,46.0,46.67
Iowa,polk,40.38,51.74,46.53,46.65,51.74,43.92,45.67,46.67,46.67
Alaska,district 1,47.91,38.76,47.11,37.9,46.0,12.51,46.67,29.0,46.67
Alaska,district 33,27.5,60.18,30.85,58.15,38.53,22.16,31.67,46.67,46.67
New Hampshire,strafford,42.13,50.57,45.95,43.64,52.64,44.2,46.33,45.67,46.33
New York,chautauqua,58.25,35.2,47.51,37.83,34.73,48.01,46.33,40.0,46.33
New York,suffolk,51.46,44.62,47.91,41.08,32.83,54.01,43.33,46.33,46.33
New York,clinton,45.01,46.91,47.11,39.3,31.73,53.75,41.0,46.0,46.0
New York,saratoga,47.83,44.62,42.17,43.45,33.0,51.98,40.67,46.0,46.0
Alaska,district 35,45.4,41.46,46.72,39.14,47.93,15.8,46.0,31.67,46.0
New York,cayuga,52.41,40.76,55.16,30.6,30.28,53.3,45.67,41.0,45.67
New York,cortland,48.9,43.33,38.27,42.83,31.51,52.88,39.0,45.67,45.67
New York,richmond,56.05,40.97,52.41,31.05,29.94,52.45,45.67,41.0,45.67
Alaska,district 25,46.95,41.57,47.59,40.34,44.66,12.74,45.67,31.0,45.67
New York,putnam,55.65,39.88,43.47,42.72,38.31,46.51,45.33,42.33,45.33
New York,warren,50.15,41.68,54.41,24.12,32.62,51.55,45.33,38.67,45.33
New York,st. lawrence,50.93,42.11,53.95,31.06,32.44,53.2,45.0,42.0,45.0
Washington,skagit,44.2,47.69,44.7,35.61,46.53,53.47,44.67,45.0,45.0
Alaska,district 23,46.88,41.8,46.27,39.84,43.45,13.79,45.0,31.0,45.0
Illinois,champaign,36.42,54.72,55.64,0.23,43.12,0.14,44.67,18.0,44.67
New York,otsego,51.85,40.72,48.23,39.18,35.3,49.22,44.67,42.67,44.67
New York,sullivan,53.18,41.96,43.44,42.12,31.63,51.56,42.33,44.67,44.67
Alaska,district 5,46.58,40.31,44.26,41.82,44.88,12.42,44.67,31.0,44.67
Alaska,district 27,46.51,42.46,46.96,41.41,42.72,15.09,44.67,32.67,44.67
Alaska,district 31,55.17,34.04,46.55,37.66,33.83,9.76,44.67,26.67,44.67
New Hampshire,grafton,37.14,55.69,45.68,38.76,51.47,40.11,44.33,44.33,44.33
New York,seneca,51.76,40.75,48.45,38.21,34.69,49.38,44.33,42.33,44.33
New York,franklin,48.5,43.05,49.58,37.25,34.17,52.53,43.67,44.0,44.0
Alaska,district 20,30.63,58.14,32.94,56.17,39.85,18.65,33.67,44.0,44.0
New York,montgomery,59.31,34.61,39.49,45.43,33.76,48.67,43.67,42.33,43.67
New York,oneida,56.52,37.08,42.58,34.05,33.08,50.14,43.67,40.33,43.67
New York,ontario,49.81,42.54,49.59,37.82,33.76,48.67,43.67,42.33,43.67
New York,niagara,56.23,38.48,44.3,41.84,30.52,51.46,43.33,43.33,43.33
Alaska,district 34,41.94,44.75,43.92,43.46,45.76,16.12,43.0,34.33,43.0
Alaska,district 16,43.07,44.3,44.04,43.28,41.52,16.57,42.67,34.33,42.67
New York,madison,53.01,38.81,41.66,37.48,33.22,48.98,42.33,41.0,42.33
Alaska,district 19,34.14,55.7,37.43,50.96,36.96,21.36,35.67,42.0,42.0
Alaska,district 21,40.23,48.85,41.16,47.27,44.35,14.22,41.67,36.33,41.67
Alaska,district 4,42.75,43.71,40.62,46.3,41.71,12.14,41.0,33.67,41.0
Alaska,district 17,38.57,48.47,40.49,47.43,43.1,16.61,40.33,37.0,40.33
Alaska,district 38,22.43,54.13,46.91,44.98,53.16,12.58,40.33,36.67,40.33
Alaska,district 18,36.26,52.81,36.97,51.24,39.32,16.67,37.0,39.67,39.67
Oregon,clackamas,41.3,47.7,30.22,11.32,37.34,54.09,36.0,37.33,37.33
