State,County,Rep. Pres. Vote %,Dem. Pres. Vote %,Rep. House Vote %,Dem. House Vote %,Rep. Senate Vote %,Dem. Senate Vote %,Avg. Rep. Vote %,Avg. Dem. Vote %,Higher Avg. %
Alabama,bibb,76.4,21.25,77.06,22.77,75.9,23.9,76.0,22.0,76.0
Alabama,covington,83.23,14.97,63.15,24.88,82.05,17.72,76.0,18.33,76.0
Florida,dixie,80.84,17.63,76.29,20.63,72.09,22.63,76.0,19.67,76.0
Florida,washington,77.42,20.29,76.86,20.24,75.36,20.21,76.0,20.0,76.0
Idaho,lewis,75.6,16.98,76.49,23.51,77.53,16.08,76.0,18.33,76.0
Indiana,franklin,78.72,17.88,78.21,18.96,72.65,24.06,76.0,19.67,76.0
Kansas,coffey,74.98,17.87,76.95,16.95,78.16,15.01,76.0,16.0,76.0
Missouri,carter,81.72,15.33,79.76,17.4,68.51,26.64,76.0,19.33,76.0
Missouri,howell,79.59,16.51,80.64,16.38,69.61,25.23,76.0,19.0,76.0
Missouri,mcdonald,80.07,16.12,77.92,17.74,71.09,21.93,76.0,18.0,76.0
North Carolina,avery,76.35,20.48,77.09,22.91,75.01,21.06,76.0,21.0,76.0
Ohio,brown,74.33,22.2,77.59,21.79,77.31,18.2,76.0,20.33,76.0
Oklahoma,murray,75.52,19.66,78.48,18.41,75.74,18.18,76.0,18.33,76.0
Oklahoma,nowata,78.38,17.51,77.49,17.58,73.96,20.06,76.0,18.0,76.0
Pennsylvania,crawford,66.65,29.26,97.94,2.06,65.68,29.65,76.0,20.0,76.0
South Carolina,allendale,21.97,76.14,19.87,78.63,24.18,74.48,21.33,76.0,76.0
South Carolina,oconee,71.88,23.78,77.65,22.22,80.0,18.58,76.0,21.0,76.0
Utah,garfield,68.52,15.27,79.9,16.86,81.46,15.45,76.0,15.33,76.0
Idaho,clark,71.73,15.55,76.53,13.72,80.36,11.43,75.67,13.0,75.67
Maryland,garrett,76.91,18.32,75.25,21.71,76.58,20.24,75.67,19.67,75.67
Missouri,butler,79.09,17.59,79.41,18.05,69.22,26.73,75.67,20.33,75.67
North Carolina,graham,78.77,18.43,76.6,23.4,73.73,21.9,75.67,20.67,75.67
Oklahoma,harmon,73.18,23.03,78.65,21.35,76.83,19.42,75.67,21.0,75.67
South Dakota,gregory,76.52,18.7,72.64,27.36,79.69,20.31,75.67,21.67,75.67
South Dakota,hamlin,74.26,20.09,73.85,26.15,80.78,19.22,75.67,21.67,75.67
Alabama,bullock,24.2,74.95,19.8,78.42,25.71,74.16,22.67,75.33,75.33
Florida,nassau,73.52,23.32,78.6,19.3,75.71,20.66,75.33,20.67,75.33
Florida,santa rosa,74.46,21.04,76.16,23.84,76.71,18.67,75.33,20.67,75.33
Idaho,boundary,73.39,18.07,77.5,22.5,76.84,17.85,75.33,19.0,75.33
Idaho,butte,74.31,13.01,76.88,13.89,76.89,15.0,75.33,13.67,75.33
Idaho,fremont,71.57,11.39,76.62,12.94,79.16,12.12,75.33,11.67,75.33
Kansas,greenwood,76.06,17.08,73.58,16.62,77.23,16.42,75.33,16.33,75.33
Kansas,woodson,74.98,18.92,77.71,17.23,75.28,18.2,75.33,17.67,75.33
Louisiana,st. tammany,73.09,22.28,77.15,17.28,76.81,20.97,75.33,19.67,75.33
Missouri,carroll,79.8,17.08,81.28,15.83,66.2,29.7,75.33,20.33,75.33
Missouri,dallas,79.1,17.07,79.53,16.33,68.67,26.66,75.33,19.67,75.33
Oklahoma,atoka,81.39,15.84,76.3,18.3,69.91,24.08,75.33,19.0,75.33
Oklahoma,rogers,75.65,19.34,75.95,17.38,76.51,16.83,75.33,17.33,75.33
South Dakota,meade,72.64,19.13,75.78,24.22,79.66,20.34,75.33,21.0,75.33
Utah,wayne,67.98,19.07,79.1,18.41,80.64,15.86,75.33,17.33,75.33
Alabama,randolph,75.64,22.49,75.79,24.11,75.39,24.52,75.0,23.33,75.0
Idaho,cassia,72.74,12.67,75.78,13.48,78.75,12.4,75.0,12.33,75.0
Idaho,clearwater,75.03,18.52,74.01,25.99,76.73,19.04,75.0,20.67,75.0
Indiana,daviess,79.36,16.72,80.54,16.04,66.46,29.32,75.0,20.33,75.0
Indiana,ripley,76.55,19.29,78.18,18.85,71.68,24.72,75.0,20.33,75.0
Kansas,kingman,75.88,17.97,71.16,17.84,79.74,14.68,75.0,16.0,75.0
Missouri,grundy,80.32,18.1,80.18,16.96,65.34,29.88,75.0,21.0,75.0
Missouri,harrison,80.37,15.56,80.84,15.89,65.89,28.73,75.0,19.33,75.0
Missouri,stone,79.42,17.43,76.0,20.07,70.33,25.19,75.0,20.67,75.0
Oklahoma,canadian,72.34,21.12,77.96,21.22,76.21,16.26,75.0,19.33,75.0
Oklahoma,creek,74.84,20.26,76.04,23.96,75.19,18.28,75.0,20.33,75.0
Pennsylvania,mifflin,75.77,20.84,79.39,20.61,71.87,22.13,75.0,20.67,75.0
Pennsylvania,tioga,74.29,21.29,78.88,21.12,73.83,21.97,75.0,21.0,75.0
South Dakota,edmunds,74.71,19.81,72.83,27.17,79.3,20.7,75.0,22.0,75.0
South Dakota,stanley,73.26,21.0,72.33,27.67,80.54,19.46,75.0,22.33,75.0
Alabama,morgan,74.02,22.22,75.79,24.14,75.15,24.73,74.67,23.33,74.67
Alabama,shelby,72.12,22.69,77.44,22.47,75.32,24.48,74.67,22.67,74.67
Indiana,dearborn,75.51,20.36,76.16,20.03,73.59,22.35,74.67,20.67,74.67
Kansas,brown,72.0,21.38,76.75,18.24,76.72,18.56,74.67,19.0,74.67
North Carolina,alexander,76.04,20.62,75.56,24.44,73.34,21.53,74.67,21.67,74.67
Ohio,wyandot,70.51,23.74,80.14,19.86,74.81,20.54,74.67,20.67,74.67
Pennsylvania,jefferson,78.0,18.74,76.96,23.04,70.95,21.54,74.67,20.67,74.67
Pennsylvania,somerset,76.54,20.62,77.37,22.63,71.28,23.34,74.67,21.67,74.67
South Dakota,hanson,74.63,21.14,73.34,26.66,77.02,22.98,74.67,23.0,74.67
Utah,iron,65.49,13.88,78.74,15.31,81.45,14.68,74.67,14.0,74.67
Arkansas,white,77.43,18.99,77.57,17.06,69.76,26.38,74.33,20.33,74.33
Colorado,phillips,76.8,18.7,80.18,17.0,67.79,30.01,74.33,21.67,74.33
Connecticut,new haven,41.96,54.25,9.38,85.65,9.29,84.37,19.67,74.33,74.33
Idaho,benewah,74.15,18.4,75.66,24.34,74.92,18.01,74.33,20.0,74.33
Indiana,decatur,76.3,19.06,81.22,15.85,66.82,27.66,74.33,20.33,74.33
Iowa,plymouth,73.39,21.87,71.93,27.93,79.71,17.73,74.33,21.67,74.33
Louisiana,allen,74.28,22.78,75.84,20.3,74.84,22.62,74.33,21.33,74.33
Missouri,maries,79.13,17.64,78.32,18.51,66.27,29.8,74.33,21.33,74.33
Missouri,perry,79.04,17.39,79.63,17.67,65.17,30.69,74.33,21.33,74.33
Missouri,wayne,82.37,16.76,77.72,19.5,64.51,30.27,74.33,21.67,74.33
North Carolina,cherokee,76.47,20.17,74.85,25.15,73.22,23.24,74.33,22.67,74.33
Ohio,miami,70.31,24.88,75.67,20.64,78.18,17.66,74.33,20.33,74.33
Ohio,noble,75.65,20.31,75.31,24.69,73.97,21.33,74.33,21.67,74.33
Oklahoma,haskell,78.11,18.62,73.34,22.34,72.14,23.43,74.33,21.0,74.33
Oklahoma,love,77.12,19.4,77.38,19.9,69.91,22.99,74.33,20.0,74.33
Oklahoma,mccurtain,80.7,16.8,73.56,19.63,70.65,22.37,74.33,19.0,74.33
Oklahoma,pushmataha,79.88,16.69,74.45,18.61,70.51,22.37,74.33,18.67,74.33
Utah,morgan,61.4,11.11,78.34,15.84,84.8,11.52,74.33,12.33,74.33
Utah,washington,68.83,16.6,76.98,18.05,79.38,16.71,74.33,16.67,74.33
Colorado,elbert,73.26,19.61,77.53,17.91,72.63,23.15,74.0,19.67,74.0
Florida,calhoun,76.55,20.41,74.89,22.54,72.08,21.22,74.0,21.0,74.0
Idaho,gem,75.18,15.45,74.95,25.02,73.61,17.55,74.0,19.0,74.0
Idaho,payette,74.55,17.31,73.96,25.77,75.1,17.95,74.0,19.67,74.0
Illinois,cook,21.0,74.68,20.38,78.55,24.84,70.32,21.67,74.0,74.0
Kansas,pratt,73.87,20.07,71.7,15.66,78.68,15.69,74.0,16.67,74.0
Missouri,schuyler,77.74,18.29,79.59,17.68,66.16,28.74,74.0,21.0,74.0
Missouri,scotland,77.49,18.55,79.01,17.43,66.13,29.38,74.0,21.33,74.0
Missouri,taney,77.72,18.6,76.16,20.22,69.0,26.3,74.0,21.33,74.0
Nevada,lander,75.76,16.7,76.05,16.05,71.21,17.43,74.0,16.33,74.0
North Carolina,currituck,72.33,22.99,78.16,21.84,72.31,24.31,74.0,22.33,74.0
North Carolina,stokes,75.9,20.69,73.3,26.7,74.39,21.27,74.0,22.33,74.0
North Carolina,wilkes,75.89,21.21,74.21,25.79,73.91,21.83,74.0,22.33,74.0
Oklahoma,craig,74.04,21.64,75.2,19.57,73.28,21.41,74.0,20.33,74.0
Oklahoma,delaware,75.25,21.07,74.63,19.72,73.07,21.19,74.0,20.33,74.0
Oklahoma,logan,71.83,22.38,77.13,22.87,74.94,17.47,74.0,20.33,74.0
Oklahoma,pawnee,74.31,21.12,75.85,24.15,73.56,19.6,74.0,21.33,74.0
Utah,box elder,61.97,11.56,78.03,14.86,83.31,11.94,74.0,12.0,74.0
Florida,suwannee,76.43,21.2,74.87,22.7,71.97,24.19,73.67,22.33,73.67
Iowa,ida,73.5,21.93,68.57,31.29,80.31,16.52,73.67,22.67,73.67
Louisiana,bossier,71.16,25.36,79.92,18.41,71.25,26.92,73.67,23.0,73.67
Maryland,montgomery,19.36,74.72,23.67,72.16,21.94,75.13,21.0,73.67,73.67
Missouri,atchison,75.62,19.86,77.02,19.47,69.57,26.32,73.67,21.33,73.67
Missouri,barry,78.25,18.56,75.54,21.01,68.69,26.38,73.67,21.67,73.67
Missouri,knox,75.72,20.27,80.19,17.84,66.19,30.58,73.67,22.33,73.67
Nevada,elko,73.02,18.33,75.74,17.64,73.29,17.42,73.67,17.33,73.67
North Carolina,davie,71.71,24.22,78.04,21.96,72.03,23.67,73.67,22.67,73.67
Ohio,clermont,68.12,26.95,77.21,21.64,76.08,19.43,73.67,22.0,73.67
Ohio,morrow,72.2,22.73,76.73,18.71,73.05,21.09,73.67,20.33,73.67
Oklahoma,adair,73.5,21.22,78.01,17.69,70.77,24.0,73.67,20.67,73.67
Oklahoma,kay,72.44,22.25,76.39,23.61,73.63,18.81,73.67,21.0,73.67
South Dakota,sanborn,72.93,21.46,71.21,28.79,78.46,21.54,73.67,23.33,73.67
Hawaii,kauai,28.76,62.49,17.1,82.9,19.0,76.13,21.33,73.33,73.33
Hawaii,maui,25.89,64.45,17.51,82.49,20.44,74.55,20.67,73.33,73.33
Idaho,lemhi,73.51,17.9,73.28,17.85,74.49,17.87,73.33,17.0,73.33
Idaho,madison,56.99,7.66,81.86,9.64,83.2,9.56,73.33,8.33,73.33
Idaho,washington,73.69,17.42,74.17,25.83,73.29,19.18,73.33,20.33,73.33
Kansas,bourbon,72.61,21.93,76.14,18.82,72.79,21.51,73.33,20.0,73.33
Louisiana,terrebonne,72.68,24.3,75.41,19.62,73.35,23.01,73.33,22.0,73.33
Louisiana,union,73.18,24.7,75.5,21.94,72.2,25.97,73.33,23.33,73.33
Missouri,moniteau,78.29,18.11,77.38,19.07,65.29,30.9,73.33,22.33,73.33
Missouri,newton,77.25,18.76,74.15,22.02,69.89,25.14,73.33,21.67,73.33
Missouri,oregon,78.64,18.53,77.5,19.69,65.45,29.91,73.33,22.0,73.33
Missouri,shelby,77.54,18.62,77.1,20.61,66.16,30.73,73.33,22.67,73.33
Missouri,webster,76.69,18.98,76.56,19.37,68.16,27.45,73.33,21.33,73.33
Ohio,gallia,75.96,20.32,77.82,22.18,68.0,27.81,73.33,23.0,73.33
Oklahoma,tillman,71.84,24.28,77.39,20.67,72.72,21.62,73.33,21.67,73.33
Pennsylvania,perry,73.81,21.89,77.74,22.26,70.64,23.53,73.33,22.0,73.33
South Carolina,anderson,69.87,26.21,75.49,24.43,76.57,21.96,73.33,23.67,73.33
Florida,liberty,77.15,19.75,71.66,25.46,71.3,23.29,73.0,22.33,73.0
Indiana,kosciusko,74.6,19.68,77.03,17.53,68.92,24.93,73.0,20.0,73.0
Louisiana,evangeline,69.61,28.28,77.51,20.06,73.15,23.84,73.0,23.67,73.0
Missouri,crawford,79.66,18.81,78.16,19.04,62.69,31.98,73.0,22.67,73.0
Missouri,sullivan,75.78,21.16,77.27,20.61,67.23,29.73,73.0,23.33,73.0
New York,queens,21.76,75.35,14.91,71.8,12.43,73.17,15.67,73.0,73.0
North Carolina,caldwell,73.3,23.2,75.19,24.81,71.09,23.77,73.0,23.33,73.0
North Carolina,davidson,72.56,24.19,75.08,24.92,72.2,23.94,73.0,23.67,73.0
Ohio,fayette,71.63,24.54,75.8,21.96,73.59,22.19,73.0,22.33,73.0
Ohio,hardin,70.9,23.75,76.98,23.02,73.59,20.83,73.0,22.0,73.0
South Dakota,turner,70.77,23.16,70.82,29.18,79.06,20.94,73.0,24.0,73.0
Alabama,limestone,72.14,23.5,73.87,26.01,73.94,25.91,72.67,24.67,72.67
Colorado,logan,74.9,19.04,77.74,17.92,67.6,28.64,72.67,21.33,72.67
Hawaii,hawaii,26.98,63.61,18.32,81.68,20.26,74.59,21.33,72.67,72.67
Indiana,wells,75.88,19.61,77.78,16.6,66.94,26.71,72.67,20.33,72.67
Iowa,humboldt,70.14,24.61,72.23,27.56,76.6,19.83,72.67,23.33,72.67
Kansas,anderson,72.69,20.06,73.58,22.77,73.43,21.7,72.67,21.0,72.67
Kansas,marshall,70.77,22.94,71.54,10.52,77.24,18.65,72.67,16.67,72.67
Louisiana,st. martin,65.53,32.1,83.3,15.82,70.0,24.12,72.67,23.67,72.67
Missouri,polk,75.84,19.12,74.34,21.05,69.93,26.01,72.67,22.0,72.67
Ohio,hancock,67.13,26.67,78.64,21.36,73.19,21.91,72.67,22.67,72.67
Ohio,williams,68.98,25.18,78.49,21.51,72.02,21.75,72.67,22.33,72.67
Oklahoma,carter,74.2,21.59,74.88,21.61,70.38,21.93,72.67,21.0,72.67
Oklahoma,latimer,76.43,19.65,72.04,22.36,70.13,24.17,72.67,21.67,72.67
Oklahoma,marshall,76.58,19.96,72.0,21.61,70.46,22.06,72.67,20.67,72.67
Oklahoma,mayes,73.52,21.78,73.64,20.67,72.28,21.8,72.67,20.67,72.67
Pennsylvania,bedford,82.72,15.42,61.95,38.05,75.68,18.58,72.67,23.67,72.67
Pennsylvania,mckean,71.4,24.7,76.8,23.2,71.52,24.73,72.67,23.67,72.67
South Dakota,fall river,70.47,23.04,73.51,26.49,75.47,24.53,72.67,24.33,72.67
Alabama,geneva,85.0,12.97,49.39,31.44,83.99,15.76,72.33,19.33,72.33
Colorado,denver,18.89,73.69,23.02,72.58,21.72,72.95,20.67,72.33,72.33
Florida,okaloosa,71.28,23.58,72.54,27.46,74.61,20.78,72.33,23.33,72.33
Illinois,scott,75.38,20.51,80.53,19.32,62.71,33.11,72.33,24.0,72.33
Indiana,union,74.29,21.73,75.54,21.06,68.47,27.39,72.33,23.0,72.33
Iowa,page,69.46,25.65,73.85,21.43,75.25,21.11,72.33,22.33,72.33
Missouri,gasconade,76.16,20.42,78.61,18.31,63.92,31.25,72.33,23.0,72.33
Missouri,lawrence,78.31,17.36,70.77,23.22,69.05,25.98,72.33,21.67,72.33
North Carolina,carteret,70.32,26.31,77.67,22.33,70.05,25.86,72.33,24.33,72.33
North Carolina,surry,73.52,23.26,72.73,27.27,72.74,23.6,72.33,24.33,72.33
Ohio,henry,66.76,26.96,79.34,20.66,72.51,22.61,72.33,22.67,72.33
Ohio,madison,67.27,27.64,78.14,21.86,72.01,22.71,72.33,23.33,72.33
Oklahoma,bryan,75.83,20.29,72.08,21.16,70.42,21.83,72.33,20.67,72.33
Colorado,sedgwick,74.41,19.57,78.62,17.29,64.4,31.79,72.0,22.33,72.0
Florida,bay,71.12,24.92,73.44,22.88,72.42,22.99,72.0,22.67,72.0
Florida,bradford,73.67,24.17,70.85,26.2,73.39,22.67,72.0,24.0,72.0
Florida,gulf,73.07,23.58,72.67,23.98,71.98,24.27,72.0,23.33,72.0
Idaho,gooding,72.11,17.92,71.16,19.36,73.86,18.46,72.0,18.0,72.0
Idaho,minidoka,71.13,16.98,71.22,18.17,74.89,16.38,72.0,16.67,72.0
Illinois,brown,75.49,20.01,81.42,18.41,60.71,34.93,72.0,24.0,72.0
Iowa,sac,71.05,24.37,68.61,31.16,77.28,19.78,72.0,24.67,72.0
Iowa,taylor,69.69,25.02,72.85,21.22,75.48,20.84,72.0,22.0,72.0
Kansas,pawnee,71.55,21.76,67.29,0.68,78.74,16.14,72.0,12.33,72.0
Louisiana,lafayette,64.58,30.99,80.77,17.61,72.49,24.79,72.0,23.67,72.0
Missouri,reynolds,79.2,17.77,77.34,20.3,60.56,34.33,72.0,23.67,72.0
Missouri,worth,77.25,18.64,75.8,20.02,64.51,31.04,72.0,23.0,72.0
Nevada,churchill,71.59,20.2,75.33,18.6,70.78,20.57,72.0,19.33,72.0
North Carolina,clay,73.83,22.75,72.4,27.6,71.42,25.3,72.0,24.67,72.0
North Carolina,mcdowell,73.3,23.48,74.26,25.74,69.99,25.09,72.0,24.33,72.0
North Carolina,orange,22.54,72.78,25.59,74.41,26.75,70.74,24.33,72.0,72.0
Ohio,champaign,69.77,25.38,75.55,24.45,72.96,21.14,72.0,23.33,72.0
Ohio,jackson,72.66,23.56,75.07,24.93,69.19,26.56,72.0,24.33,72.0
Ohio,pickaway,69.01,26.39,76.68,23.32,71.22,24.34,72.0,24.33,72.0
Oklahoma,caddo,69.34,25.89,74.15,25.85,73.79,21.1,72.0,23.67,72.0
Oklahoma,choctaw,77.52,19.66,70.71,22.74,69.5,24.06,72.0,21.67,72.0
South Dakota,union,66.99,28.2,73.49,26.51,77.17,22.83,72.0,25.33,72.0
Wisconsin,menominee,21.03,78.42,29.42,70.58,24.61,68.56,24.67,72.0,72.0
Missouri,camden,75.26,21.18,76.1,20.45,64.36,31.19,71.67,24.0,71.67
Missouri,macon,76.08,20.31,75.95,21.0,64.81,30.76,71.67,23.67,71.67
Missouri,vernon,75.97,19.85,77.0,19.78,63.71,31.58,71.67,23.0,71.67
New York,westchester,31.2,64.88,4.34,85.02,23.81,66.96,19.33,71.67,71.67
North Carolina,lincoln,71.97,24.73,74.84,25.16,70.41,24.75,71.67,24.33,71.67
North Carolina,stanly,73.42,23.71,72.95,27.05,70.27,24.47,71.67,24.67,71.67
Oklahoma,pottawatomie,70.12,23.63,70.58,23.92,75.23,18.22,71.67,21.33,71.67
Pennsylvania,clarion,71.72,24.37,80.94,19.06,64.83,28.27,71.67,23.67,71.67
South Dakota,custer,69.75,23.74,72.76,27.24,74.98,25.02,71.67,25.0,71.67
Colorado,jackson,73.05,19.86,73.77,23.35,68.27,27.52,71.33,23.0,71.33
Florida,clay,70.4,26.13,71.11,25.08,73.93,22.05,71.33,24.33,71.33
Iowa,pocahontas,69.91,24.92,70.6,29.29,75.6,20.5,71.33,24.33,71.33
Kansas,neosho,70.18,23.77,74.5,20.23,70.04,22.83,71.33,21.67,71.33
Missouri,livingston,75.99,19.7,79.56,17.73,60.41,34.79,71.33,23.33,71.33
Missouri,montgomery,76.02,20.61,76.43,20.19,62.86,31.79,71.33,23.67,71.33
Missouri,scott,76.31,20.72,74.58,22.89,64.44,31.75,71.33,24.33,71.33
North Carolina,camden,70.83,25.45,75.65,24.35,69.98,26.32,71.33,25.0,71.33
Oklahoma,coal,79.12,17.13,69.19,23.38,66.1,26.57,71.33,22.0,71.33
Oklahoma,hughes,74.86,21.23,65.3,25.0,75.07,19.75,71.33,21.67,71.33
Oregon,multnomah,17.03,73.3,1.75,68.02,14.58,73.72,10.67,71.33,71.33
Idaho,custer,73.61,17.69,69.63,17.66,71.28,18.06,71.0,17.33,71.0
Indiana,adams,73.71,21.43,76.91,17.56,64.17,29.23,71.0,22.33,71.0
Indiana,morgan,75.68,19.31,70.81,23.5,68.31,25.21,71.0,22.33,71.0
Iowa,grundy,65.88,27.01,72.52,27.41,76.6,19.95,71.0,24.33,71.0
Iowa,montgomery,68.12,26.05,72.41,21.79,73.67,21.56,71.0,22.67,71.0
Kansas,montgomery,72.3,21.97,72.83,21.12,69.45,22.8,71.0,21.33,71.0
Missouri,clark,76.45,22.52,75.24,20.99,62.16,32.32,71.0,24.67,71.0
Nevada,humboldt,70.28,21.55,75.38,18.52,68.9,22.0,71.0,20.33,71.0
North Carolina,alleghany,71.76,24.57,72.33,27.67,70.37,25.29,71.0,25.33,71.0
Ohio,guernsey,69.12,26.33,73.76,26.24,71.76,23.65,71.0,25.0,71.0
Ohio,meigs,73.2,22.63,74.36,25.64,66.96,28.77,71.0,25.0,71.0
Ohio,warren,66.21,28.76,73.67,26.31,74.87,20.78,71.0,24.67,71.0
Oklahoma,pittsburg,73.84,21.49,71.09,22.7,69.36,24.14,71.0,22.33,71.0
Pennsylvania,huntingdon,73.55,23.03,74.45,25.55,66.76,26.06,71.0,24.67,71.0
South Dakota,mccook,69.35,24.08,67.91,32.09,77.14,22.86,71.0,26.0,71.0
Wisconsin,dane,22.99,70.17,26.9,72.97,26.28,71.78,24.67,71.0,71.0
Wisconsin,washington,66.32,26.74,75.61,20.69,72.24,25.6,71.0,23.67,71.0
Illinois,pike,76.41,18.76,77.7,22.17,59.37,36.0,70.67,25.33,70.67
Illinois,stark,64.82,27.38,83.81,15.96,65.06,28.91,70.67,23.33,70.67
Indiana,fountain,75.57,19.7,71.28,24.31,66.41,27.61,70.67,23.33,70.67
Indiana,whitley,72.7,21.63,77.46,15.54,63.35,28.9,70.67,21.33,70.67
Kansas,cherokee,71.72,23.26,72.65,21.67,69.43,25.32,70.67,23.0,70.67
Kentucky,robertson,74.93,21.92,73.5,26.5,65.39,34.61,70.67,27.0,70.67
Missouri,daviess,77.01,20.32,76.49,20.02,59.31,33.93,70.67,24.33,70.67
Missouri,gentry,75.71,19.88,76.64,20.79,61.69,34.0,70.67,24.33,70.67
Missouri,monroe,76.01,20.52,74.15,22.56,62.89,32.37,70.67,24.67,70.67
Missouri,morgan,76.64,20.04,75.34,20.35,61.7,33.26,70.67,24.33,70.67
Missouri,st. clair,75.62,20.22,74.59,21.54,63.19,31.37,70.67,24.0,70.67
Missouri,shannon,75.97,19.88,75.73,21.57,62.85,31.84,70.67,23.67,70.67
North Carolina,rutherford,72.16,24.79,72.17,27.83,68.44,27.69,70.67,26.0,70.67
Ohio,carroll,70.78,24.12,72.76,27.24,70.66,22.36,70.67,24.33,70.67
Ohio,crawford,70.75,24.04,70.73,29.27,72.52,21.71,70.67,24.67,70.67
Ohio,union,65.97,28.14,74.68,25.32,73.46,22.1,70.67,25.0,70.67
Oklahoma,johnston,76.98,19.56,69.21,23.21,67.3,25.5,70.67,22.33,70.67
Oklahoma,pontotoc,70.33,24.52,74.43,22.53,68.94,24.05,70.67,23.33,70.67
Pennsylvania,snyder,71.66,24.46,75.8,24.2,66.74,26.4,70.67,24.67,70.67
Pennsylvania,sullivan,73.05,23.92,74.33,25.67,65.31,28.03,70.67,25.33,70.67
South Carolina,horry,67.17,29.65,72.73,27.17,73.23,25.6,70.67,27.0,70.67
Arizona,mohave,72.9,21.83,74.8,24.88,65.22,24.6,70.33,23.0,70.33
Florida,taylor,74.6,23.16,70.99,26.9,67.27,28.76,70.33,25.67,70.33
Idaho,camas,69.49,18.64,71.6,21.51,71.88,21.88,70.33,20.0,70.33
Indiana,lagrange,73.44,21.74,74.49,19.78,64.66,28.91,70.33,22.67,70.33
Indiana,rush,73.36,21.14,76.22,19.38,62.54,31.3,70.33,23.67,70.33
Louisiana,calcasieu,64.68,31.39,77.08,21.05,70.74,26.9,70.33,26.0,70.33
Missouri,benton,77.46,21.75,73.73,21.88,61.87,32.52,70.33,24.67,70.33
Missouri,cape girardeau,72.94,22.93,74.41,22.29,65.66,30.47,70.33,24.67,70.33
Missouri,dunklin,75.87,22.31,73.35,24.11,63.02,33.1,70.33,26.33,70.33
Missouri,lewis,75.04,20.96,75.82,20.84,61.84,33.32,70.33,24.33,70.33
Missouri,pulaski,73.22,21.66,74.1,21.1,64.51,30.27,70.33,24.0,70.33
Nevada,white pine,72.17,18.74,70.26,19.52,69.1,19.3,70.33,18.67,70.33
Ohio,coshocton,69.35,25.8,71.34,23.6,71.21,23.24,70.33,23.67,70.33
Pennsylvania,cameron,72.69,24.29,75.49,24.51,64.53,27.53,70.33,25.0,70.33
Pennsylvania,clearfield,72.75,23.93,74.43,25.57,65.06,27.8,70.33,25.0,70.33
South Carolina,cherokee,69.7,28.0,70.17,27.67,72.29,26.0,70.33,27.0,70.33
South Dakota,brule,68.4,24.96,68.97,31.03,75.91,24.09,70.33,26.33,70.33
Utah,kane,64.62,21.14,73.3,23.22,74.09,21.7,70.33,21.67,70.33
Utah,utah,50.7,14.15,80.82,18.13,81.45,13.07,70.33,15.0,70.33
Idaho,adams,71.28,19.01,71.58,28.42,68.88,21.61,70.0,22.67,70.0
Idaho,jerome,68.79,19.69,70.37,19.72,72.97,18.54,70.0,18.67,70.0
Idaho,kootenai,67.03,24.53,71.12,28.88,72.23,23.3,70.0,25.0,70.0
Illinois,logan,65.97,26.72,78.96,20.86,67.24,26.71,70.0,24.0,70.0
Iowa,adams,66.24,26.83,71.05,23.36,73.47,22.02,70.0,23.67,70.0
Iowa,cass,66.82,27.38,71.27,22.95,73.33,22.49,70.0,23.67,70.0
Iowa,fremont,66.95,26.79,71.45,20.59,73.67,20.97,70.0,22.0,70.0
Iowa,ringgold,67.38,27.82,69.95,25.1,74.05,22.97,70.0,24.67,70.0
Iowa,shelby,68.48,26.09,69.78,30.17,73.32,23.06,70.0,26.33,70.0
Missouri,christian,74.51,20.49,70.5,24.17,66.93,28.53,70.0,24.0,70.0
Missouri,hickory,74.98,21.51,74.44,21.55,62.93,31.69,70.0,24.33,70.0
Missouri,marion,72.8,23.14,74.46,23.08,64.11,32.02,70.0,26.0,70.0
Ohio,fulton,64.59,28.59,76.19,23.81,70.02,24.98,70.0,25.0,70.0
Ohio,harrison,72.02,23.85,70.62,29.38,68.52,26.13,70.0,26.0,70.0
Ohio,paulding,71.85,23.13,75.33,24.67,64.78,29.05,70.0,25.33,70.0
Oklahoma,okfuskee,71.01,23.92,68.76,24.72,71.28,23.11,70.0,23.33,70.0
Oklahoma,sequoyah,75.42,21.2,69.84,23.93,66.95,25.76,70.0,23.0,70.0
Utah,daggett,69.83,16.24,68.13,20.88,73.75,20.61,70.0,18.67,70.0
Washington,lincoln,71.91,21.77,73.8,26.2,66.38,33.62,70.0,26.67,70.0
Florida,columbia,70.95,26.48,69.07,28.32,70.3,25.97,69.67,26.33,69.67
Florida,gadsden,30.43,67.92,23.2,76.8,31.37,66.38,28.0,69.67,69.67
Idaho,elmore,68.25,21.29,70.26,22.35,71.95,20.81,69.67,21.0,69.67
Idaho,lincoln,67.73,20.59,70.42,21.68,72.59,20.34,69.67,20.33,69.67
Illinois,christian,68.2,25.82,80.42,19.43,61.31,32.09,69.67,25.33,69.67
Illinois,woodford,66.49,25.63,76.27,23.56,67.79,25.93,69.67,24.33,69.67
Indiana,huntington,72.61,21.85,75.75,16.34,62.89,28.85,69.67,21.67,69.67
Indiana,martin,76.88,18.32,72.51,22.79,61.25,33.3,69.67,24.33,69.67
Indiana,ohio,72.51,23.49,70.86,25.62,67.27,29.45,69.67,25.67,69.67
Missouri,ralls,75.37,21.61,73.52,24.32,61.91,33.9,69.67,26.0,69.67
