State,County,Candidate,Party,Votes,Vote %
Florida,flagler,Donald Trump,Republican,33850,0.5886649392205624
Florida,franklin,Donald Trump,Republican,4125,0.685785536159601
Florida,gadsden,Hillary Clinton,Democratic,15020,0.6792384570162348
Florida,gilchrist,Donald Trump,Republican,6740,0.8004750593824228
Florida,glades,Donald Trump,Republican,2996,0.6882609694463588
Florida,gulf,Donald Trump,Republican,5329,0.7307006718771425
Florida,hamilton,Donald Trump,Republican,3443,0.6305860805860806
Florida,hardee,Donald Trump,Republican,5242,0.6912831333245417
Florida,hendry,Donald Trump,Republican,6195,0.5573549257759784
Florida,hernando,Donald Trump,Republican,58970,0.6287048488208452
Florida,highlands,Donald Trump,Republican,29565,0.6471347896510966
Florida,hillsborough,Hillary Clinton,Democratic,307896,0.5151691597229194
Florida,holmes,Donald Trump,Republican,7483,0.8789053323937045
Florida,indian river,Donald Trump,Republican,48620,0.6076816358159707
Florida,jackson,Donald Trump,Republican,14257,0.6775818639798489
Florida,jefferson,Donald Trump,Republican,3930,0.514061478090255
Florida,lafayette,Donald Trump,Republican,2809,0.828125
Florida,lake,Donald Trump,Republican,102188,0.5994767162182774
Florida,lee,Donald Trump,Republican,191551,0.5868237240365174
Florida,leon,Hillary Clinton,Democratic,92068,0.6051849709462835
Florida,levy,Donald Trump,Republican,13775,0.7102345965455015
Florida,liberty,Donald Trump,Republican,2543,0.7715412621359223
Florida,madison,Donald Trump,Republican,4851,0.5703703703703704
Florida,manatee,Donald Trump,Republican,101944,0.5696532147207725
Florida,marion,Donald Trump,Republican,107833,0.6172467086433887
Florida,martin,Donald Trump,Republican,53204,0.6201510630361805
Florida,miami-dade,Hillary Clinton,Democratic,624146,0.636751125275963
Florida,monroe,Donald Trump,Republican,21904,0.5156551626724422
Florida,nassau,Donald Trump,Republican,34266,0.7352114489239814
Florida,okaloosa,Donald Trump,Republican,71893,0.7128352585394874
Florida,okeechobee,Donald Trump,Republican,9356,0.6852706364901486
Florida,orange,Hillary Clinton,Democratic,329894,0.6038973044711913
Florida,osceola,Hillary Clinton,Democratic,85458,0.609517424361297
Florida,palm beach,Hillary Clinton,Democratic,374673,0.5656876007802734
Florida,pasco,Donald Trump,Republican,142101,0.5892908239646013
Florida,pinellas,Donald Trump,Republican,239201,0.48578298669991854
Florida,polk,Donald Trump,Republican,157430,0.5537187757198028
Florida,putnam,Donald Trump,Republican,22138,0.6684784249781079
Florida,st. johns,Donald Trump,Republican,88684,0.6496330046735134
Florida,st. lucie,Donald Trump,Republican,70289,0.49904506308263574
Florida,santa rosa,Donald Trump,Republican,65339,0.7446464185993504
Florida,sarasota,Donald Trump,Republican,124438,0.5432479274260793
Florida,seminole,Donald Trump,Republican,109443,0.48663826835515084
Florida,sumter,Donald Trump,Republican,52730,0.6877975608165395
Florida,suwannee,Donald Trump,Republican,14287,0.7642559109874826
Florida,taylor,Donald Trump,Republican,6930,0.7459634015069968
Florida,union,Donald Trump,Republican,4568,0.8022479803301721
Florida,volusia,Donald Trump,Republican,143007,0.5481946877551568
Florida,wakulla,Donald Trump,Republican,10512,0.6847762360758257
Florida,walton,Donald Trump,Republican,25756,0.7657044326188424
Florida,washington,Donald Trump,Republican,8637,0.7742022230190032
Georgia,appling,Donald Trump,Republican,5494,0.7835139760410724
Georgia,atkinson,Donald Trump,Republican,1878,0.7195402298850575
Georgia,bacon,Donald Trump,Republican,3364,0.83681592039801
Georgia,baker,Donald Trump,Republican,775,0.5381944444444444
Georgia,baldwin,Hillary Clinton,Democratic,7970,0.4945395879870936
Georgia,banks,Donald Trump,Republican,6134,0.879426523297491
Georgia,barrow,Donald Trump,Republican,21108,0.7263592567102547
Georgia,bartow,Donald Trump,Republican,29911,0.756283185840708
Georgia,ben hill,Donald Trump,Republican,3739,0.6298854447439353
Georgia,berrien,Donald Trump,Republican,5422,0.8227617602427921
Georgia,bibb,Hillary Clinton,Democratic,36787,0.5876893092210365
Georgia,bleckley,Donald Trump,Republican,3719,0.7476879774829112
Georgia,brantley,Donald Trump,Republican,5567,0.8835105538803365
Georgia,brooks,Donald Trump,Republican,3701,0.5841224747474747
Georgia,bryan,Donald Trump,Republican,10529,0.6939300072497199
Georgia,bulloch,Donald Trump,Republican,15097,0.5963422341602149
Georgia,burke,Hillary Clinton,Democratic,4731,0.505935194096888
Georgia,butts,Donald Trump,Republican,6717,0.7060121925583351
Georgia,calhoun,Hillary Clinton,Democratic,1179,0.5822222222222222
Georgia,camden,Donald Trump,Republican,12310,0.6512882916247817
Georgia,candler,Donald Trump,Republican,2664,0.7079457879351582
Georgia,carroll,Donald Trump,Republican,30029,0.680605607307178
Georgia,catoosa,Donald Trump,Republican,20876,0.7802070486227903
Georgia,charlton,Donald Trump,Republican,2951,0.7348107569721115
Georgia,chatham,Hillary Clinton,Democratic,62290,0.5554564748265591
Georgia,chattahoochee,Donald Trump,Republican,751,0.5402877697841727
Georgia,chattooga,Donald Trump,Republican,6462,0.7830828889966068
Georgia,cherokee,Donald Trump,Republican,80649,0.719804003819962
Georgia,clarke,Hillary Clinton,Democratic,29603,0.658195482034863
Georgia,clay,Hillary Clinton,Democratic,697,0.5475255302435192
Georgia,clayton,Hillary Clinton,Democratic,78220,0.8423523837215563
Georgia,clinch,Donald Trump,Republican,1727,0.7034623217922606
Georgia,cobb,Hillary Clinton,Democratic,160121,0.4840139169757481
Georgia,coffee,Donald Trump,Republican,9588,0.6890406036651096
Georgia,colquitt,Donald Trump,Republican,9898,0.7265120375807399
Georgia,columbia,Donald Trump,Republican,43085,0.665477348902584
Georgia,cook,Donald Trump,Republican,4176,0.6894502228826151
Georgia,coweta,Donald Trump,Republican,42533,0.6888492995384241
Georgia,crawford,Donald Trump,Republican,3635,0.7022797527047914
Georgia,crisp,Donald Trump,Republican,4549,0.6055644302449414
Georgia,dade,Donald Trump,Republican,5051,0.8091957705863505
Georgia,dawson,Donald Trump,Republican,9900,0.8414789630259244
Georgia,decatur,Donald Trump,Republican,6020,0.585261520513319
Georgia,dekalb,Hillary Clinton,Democratic,251370,0.7986160752580562
Georgia,dodge,Donald Trump,Republican,5021,0.7163646739905836
Georgia,dooly,Donald Trump,Republican,1951,0.5055713915522156
Georgia,dougherty,Hillary Clinton,Democratic,23311,0.6838677501686861
Georgia,douglas,Hillary Clinton,Democratic,31005,0.5369947001974437
Georgia,early,Donald Trump,Republican,2552,0.5333333333333333
Georgia,echols,Donald Trump,Republican,1007,0.8519458544839256
Georgia,effingham,Donald Trump,Republican,17874,0.7619575411373518
Georgia,elbert,Donald Trump,Republican,5292,0.6625766871165644
Georgia,emanuel,Donald Trump,Republican,5335,0.6787531806615776
Georgia,evans,Donald Trump,Republican,2404,0.6653750345972875
Georgia,fannin,Donald Trump,Republican,9632,0.81544192346766
Georgia,fayette,Donald Trump,Republican,35048,0.5753779981284783
Georgia,floyd,Donald Trump,Republican,24114,0.6967753120665742
Georgia,forsyth,Donald Trump,Republican,69851,0.7111615642276091
Georgia,franklin,Donald Trump,Republican,7054,0.829687132439426
Georgia,fulton,Hillary Clinton,Democratic,297051,0.6885887744528746
Georgia,gilmer,Donald Trump,Republican,10477,0.8202458310498708
Georgia,glascock,Donald Trump,Republican,1235,0.8884892086330936
Georgia,glynn,Donald Trump,Republican,21512,0.6278492834836412
Georgia,gordon,Donald Trump,Republican,15191,0.8012553404715439
Georgia,grady,Donald Trump,Republican,6053,0.6570064039943558
Georgia,greene,Donald Trump,Republican,5490,0.6201988251242657
Georgia,gwinnett,Hillary Clinton,Democratic,166153,0.5060533425110635
Georgia,habersham,Donald Trump,Republican,13190,0.8120421104475775
Georgia,hall,Donald Trump,Republican,51733,0.7317877047557076
Georgia,hancock,Hillary Clinton,Democratic,2701,0.7544692737430168
Georgia,haralson,Donald Trump,Republican,9585,0.8439728801620147
Georgia,harris,Donald Trump,Republican,11936,0.7233062659071627
Georgia,hart,Donald Trump,Republican,7286,0.7201739646140161
