state,county,candidate,party,candidatevotes,totalvotes
Alabama,lowndes,Hillary Clinton,Democratic,4883,6684
Alabama,lowndes,Donald Trump,Republican,1751,6684
Alabama,lowndes,Other,Other,50,6684
Alabama,macon,Hillary Clinton,Democratic,7566,9140
Alabama,macon,Donald Trump,Republican,1431,9140
Alabama,macon,Other,Other,143,9140
Alabama,madison,Hillary Clinton,Democratic,62822,163389
Alabama,madison,Donald Trump,Republican,89520,163389
Alabama,madison,Other,Other,11047,163389
Alabama,marengo,Hillary Clinton,Democratic,5615,10994
Alabama,marengo,Donald Trump,Republican,5233,10994
Alabama,marengo,Other,Other,146,10994
Alabama,marion,Hillary Clinton,Democratic,1432,12984
Alabama,marion,Donald Trump,Republican,11274,12984
Alabama,marion,Other,Other,278,12984
Alabama,marshall,Hillary Clinton,Democratic,4917,35316
Alabama,marshall,Donald Trump,Republican,29233,35316
Alabama,marshall,Other,Other,1166,35316
Alabama,mobile,Hillary Clinton,Democratic,72186,172737
Alabama,mobile,Donald Trump,Republican,95116,172737
Alabama,mobile,Other,Other,5435,172737
Alabama,monroe,Hillary Clinton,Democratic,4332,10271
Alabama,monroe,Donald Trump,Republican,5795,10271
Alabama,monroe,Other,Other,144,10271
Alabama,montgomery,Hillary Clinton,Democratic,58916,95878
Alabama,montgomery,Donald Trump,Republican,34003,95878
Alabama,montgomery,Other,Other,2959,95878
Alabama,morgan,Hillary Clinton,Democratic,11254,50644
Alabama,morgan,Donald Trump,Republican,37486,50644
Alabama,morgan,Other,Other,1904,50644
Alabama,perry,Hillary Clinton,Democratic,3824,5278
Alabama,perry,Donald Trump,Republican,1407,5278
Alabama,perry,Other,Other,47,5278
Alabama,pickens,Hillary Clinton,Democratic,3972,9542
Alabama,pickens,Donald Trump,Republican,5456,9542
Alabama,pickens,Other,Other,114,9542
Alabama,pike,Hillary Clinton,Democratic,5056,13168
Alabama,pike,Donald Trump,Republican,7693,13168
Alabama,pike,Other,Other,419,13168
Alabama,randolph,Hillary Clinton,Democratic,2291,10187
Alabama,randolph,Donald Trump,Republican,7705,10187
Alabama,randolph,Other,Other,191,10187
Alabama,russell,Hillary Clinton,Democratic,9579,19256
Alabama,russell,Donald Trump,Republican,9210,19256
Alabama,russell,Other,Other,467,19256
Alabama,st. clair,Hillary Clinton,Democratic,5589,38400
Alabama,st. clair,Donald Trump,Republican,31651,38400
Alabama,st. clair,Other,Other,1160,38400
Alabama,shelby,Hillary Clinton,Democratic,22977,101254
Alabama,shelby,Donald Trump,Republican,73020,101254
Alabama,shelby,Other,Other,5257,101254
Alabama,sumter,Hillary Clinton,Democratic,4746,6411
Alabama,sumter,Donald Trump,Republican,1581,6411
Alabama,sumter,Other,Other,84,6411
Alabama,talladega,Hillary Clinton,Democratic,12121,33407
Alabama,talladega,Donald Trump,Republican,20614,33407
Alabama,talladega,Other,Other,672,33407
Alabama,tallapoosa,Hillary Clinton,Democratic,5519,19486
Alabama,tallapoosa,Donald Trump,Republican,13594,19486
Alabama,tallapoosa,Other,Other,373,19486
Alabama,tuscaloosa,Hillary Clinton,Democratic,31762,82700
Alabama,tuscaloosa,Donald Trump,Republican,47723,82700
Alabama,tuscaloosa,Other,Other,3215,82700
Alabama,walker,Hillary Clinton,Democratic,4497,29472
Alabama,walker,Donald Trump,Republican,24266,29472
Alabama,walker,Other,Other,709,29472
Alabama,washington,Hillary Clinton,Democratic,2374,8533
Alabama,washington,Donald Trump,Republican,6042,8533
Alabama,washington,Other,Other,117,8533
Alabama,wilcox,Hillary Clinton,Democratic,4339,6118
Alabama,wilcox,Donald Trump,Republican,1737,6118
Alabama,wilcox,Other,Other,42,6118
Alabama,winston,Hillary Clinton,Democratic,872,10313
Alabama,winston,Donald Trump,Republican,9228,10313
Alabama,winston,Other,Other,213,10313
Arizona,apache,Hillary Clinton,Democratic,17083,27661
Arizona,apache,Donald Trump,Republican,8240,27661
Arizona,apache,Other,Other,2338,27661
Arizona,cochise,Hillary Clinton,Democratic,17450,50015
Arizona,cochise,Donald Trump,Republican,28092,50015
Arizona,cochise,Other,Other,4473,50015
Arizona,coconino,Hillary Clinton,Democratic,32404,59784
Arizona,coconino,Donald Trump,Republican,21108,59784
Arizona,coconino,Other,Other,6272,59784
Arizona,gila,Hillary Clinton,Democratic,7003,22312
Arizona,gila,Donald Trump,Republican,14182,22312
Arizona,gila,Other,Other,1127,22312
Arizona,graham,Hillary Clinton,Democratic,3301,12134
Arizona,graham,Donald Trump,Republican,8025,12134
Arizona,graham,Other,Other,808,12134
Arizona,greenlee,Hillary Clinton,Democratic,1092,3270
Arizona,greenlee,Donald Trump,Republican,1892,3270
Arizona,greenlee,Other,Other,286,3270
Arizona,la paz,Hillary Clinton,Democratic,1575,5951
Arizona,la paz,Donald Trump,Republican,4003,5951
Arizona,la paz,Other,Other,373,5951
Arizona,maricopa,Hillary Clinton,Democratic,702907,1567834
Arizona,maricopa,Donald Trump,Republican,747361,1567834
Arizona,maricopa,Other,Other,117566,1567834
Arizona,mohave,Hillary Clinton,Democratic,17455,79943
Arizona,mohave,Donald Trump,Republican,58282,79943
Arizona,mohave,Other,Other,4206,79943
Arizona,navajo,Hillary Clinton,Democratic,16459,40294
Arizona,navajo,Donald Trump,Republican,20577,40294
Arizona,navajo,Other,Other,3258,40294
Arizona,pima,Hillary Clinton,Democratic,224661,421640
Arizona,pima,Donald Trump,Republican,167428,421640
Arizona,pima,Other,Other,29551,421640
Arizona,pinal,Hillary Clinton,Democratic,47892,129546
Arizona,pinal,Donald Trump,Republican,72819,129546
Arizona,pinal,Other,Other,8835,129546
Arizona,santa cruz,Hillary Clinton,Democratic,11690,16433
Arizona,santa cruz,Donald Trump,Republican,3897,16433
Arizona,santa cruz,Other,Other,846,16433
Arizona,yavapai,Hillary Clinton,Democratic,35590,114450
Arizona,yavapai,Donald Trump,Republican,71330,114450
Arizona,yavapai,Other,Other,7530,114450
Arizona,yuma,Hillary Clinton,Democratic,24605,53010
Arizona,yuma,Donald Trump,Republican,25165,53010
Arizona,yuma,Other,Other,3240,53010
Arkansas,arkansas,Hillary Clinton,Democratic,1939,6212
Arkansas,arkansas,Donald Trump,Republican,3826,6212
Arkansas,arkansas,Other,Other,447,6212
Arkansas,ashley,Hillary Clinton,Democratic,2408,8083
Arkansas,ashley,Donald Trump,Republican,5338,8083
Arkansas,ashley,Other,Other,337,8083
Arkansas,baxter,Hillary Clinton,Democratic,4169,19766
Arkansas,baxter,Donald Trump,Republican,14682,19766
Arkansas,baxter,Other,Other,915,19766
Arkansas,benton,Hillary Clinton,Democratic,28005,96824
Arkansas,benton,Donald Trump,Republican,60871,96824
Arkansas,benton,Other,Other,7948,96824
Arkansas,boone,Hillary Clinton,Democratic,2926,16111
Arkansas,boone,Donald Trump,Republican,12235,16111
Arkansas,boone,Other,Other,950,16111
Arkansas,bradley,Hillary Clinton,Democratic,1317,3653
Arkansas,bradley,Donald Trump,Republican,2164,3653
Arkansas,bradley,Other,Other,172,3653
Arkansas,calhoun,Hillary Clinton,Democratic,639,2269
Arkansas,calhoun,Donald Trump,Republican,1556,2269
Arkansas,calhoun,Other,Other,74,2269
Arkansas,carroll,Hillary Clinton,Democratic,3342,10758
Arkansas,carroll,Donald Trump,Republican,6786,10758
Arkansas,carroll,Other,Other,630,10758
Arkansas,chicot,Hillary Clinton,Democratic,2350,4176
Arkansas,chicot,Donald Trump,Republican,1716,4176
Arkansas,chicot,Other,Other,110,4176
Arkansas,clark,Hillary Clinton,Democratic,3620,8526
Arkansas,clark,Donald Trump,Republican,4404,8526
Arkansas,clark,Other,Other,502,8526
Arkansas,clay,Hillary Clinton,Democratic,1199,5200
Arkansas,clay,Donald Trump,Republican,3781,5200
Arkansas,clay,Other,Other,220,5200
Arkansas,cleburne,Hillary Clinton,Democratic,2101,12085
Arkansas,cleburne,Donald Trump,Republican,9458,12085
Arkansas,cleburne,Other,Other,526,12085
Arkansas,cleveland,Hillary Clinton,Democratic,723,3354
Arkansas,cleveland,Donald Trump,Republican,2462,3354
Arkansas,cleveland,Other,Other,169,3354
Arkansas,columbia,Hillary Clinton,Democratic,3140,8887
Arkansas,columbia,Donald Trump,Republican,5456,8887
Arkansas,columbia,Other,Other,291,8887
Arkansas,conway,Hillary Clinton,Democratic,2656,7927
Arkansas,conway,Donald Trump,Republican,4849,7927
Arkansas,conway,Other,Other,422,7927
Arkansas,craighead,Hillary Clinton,Democratic,10538,35573
Arkansas,craighead,Donald Trump,Republican,22892,35573
Arkansas,craighead,Other,Other,2143,35573
Arkansas,crawford,Hillary Clinton,Democratic,4488,22450
Arkansas,crawford,Donald Trump,Republican,16686,22450
Arkansas,crawford,Other,Other,1276,22450
Arkansas,crittenden,Hillary Clinton,Democratic,8410,15952
Arkansas,crittenden,Donald Trump,Republican,6964,15952
Arkansas,crittenden,Other,Other,578,15952
Arkansas,cross,Hillary Clinton,Democratic,1999,6874
Arkansas,cross,Donald Trump,Republican,4584,6874
Arkansas,cross,Other,Other,291,6874
Arkansas,dallas,Hillary Clinton,Democratic,1165,2771
Arkansas,dallas,Donald Trump,Republican,1509,2771
Arkansas,dallas,Other,Other,97,2771
Arkansas,desha,Hillary Clinton,Democratic,2228,4257
Arkansas,desha,Donald Trump,Republican,1919,4257
Arkansas,desha,Other,Other,110,4257
Arkansas,drew,Hillary Clinton,Democratic,2365,6595
